name,hp,atk,def,spa,spd,spe,weight,height,formats,generation,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes
Nidorino,61,72,57,55,55,65,19.5,0.9,ZU,RB,0,2,0,5,0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,2,14,10,4,2,2,0,9,8,5,2.0,7,7,6,5,5,4,3,7,7,7,6,4,2.0,2.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0,ZU,0
Nidoking,81,102,77,85,75,85,62.0,1.4,OU,RB,5,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,37,29,19,14,7,2,15,14,13,5.0,18,16,15,14,13,10,6,11,11,11,10,10,5.0,5.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,OU,5
Clefairy,70,45,48,60,65,35,7.5,0.6,PU,RB,1,2,0,3,0,1,1,5,2,0,0,3,1,2,3,0,2,1,0,2,20,12,8,5,2,1,11,10,10,2.0,18,17,16,15,12,10,9,10,9,9,9,7,4.0,3.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,16.666666666666664,0,ZU,0
Clefable,95,70,73,95,90,60,40.0,1.3,Uber,RB,6,2,0,3,0,1,1,5,2,0,0,3,1,2,3,0,2,1,0,2,20,12,8,5,2,1,11,10,10,2.0,19,18,17,16,13,11,9,11,10,10,10,8,6.0,5.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,OU,5
Vulpix,38,41,40,50,65,65,9.9,0.6,ZU,RB,0,3,0,6,0,0,1,3,0,0,0,0,0,0,3,1,0,0,1,2,9,7,4,2,2,1,6,6,6,2.0,10,10,10,10,8,5,4,6,6,6,6,4,1.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,77.77777777777779,0,ZU,0
Ninetales,73,76,75,81,100,100,19.9,1.1,PU,RB,1,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,0,1,2,9,7,4,2,2,1,6,6,6,2.0,14,14,14,14,12,7,5,7,7,7,7,6,3.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,77.77777777777779,0,ZU,0
Jigglypuff,115,45,20,45,25,20,5.5,0.5,ZU,RB,0,2,0,2,0,2,2,8,2,0,2,2,1,2,2,0,2,0,0,2,19,12,7,4,1,0,10,9,9,3.0,14,13,12,11,8,7,6,9,8,8,8,7,4.0,3.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,ZU,0
Wigglytuff,140,70,45,85,50,45,12.0,1.0,PU,RB,1,2,0,2,0,2,2,8,2,0,2,2,1,2,2,0,2,0,0,2,19,12,7,4,1,0,10,9,9,3.0,15,14,13,12,9,8,6,10,9,9,9,8,6.0,5.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,ZU,0
Zubat,40,45,35,30,40,55,7.5,0.8,ZU,RB,0,4,0,2,3,1,2,8,0,1,0,0,3,0,4,1,2,1,0,0,11,9,6,3,2,1,7,6,4,2.0,4,4,4,4,4,3,1,7,7,5,5,4,0.0,0.0,0.0,0.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,ZU,0
Golbat,75,80,70,65,75,90,55.0,1.6,ZU,RB,0,4,0,2,3,1,2,8,0,1,0,0,3,0,4,1,2,1,0,0,11,9,6,3,2,1,7,6,4,2.0,4,4,4,4,4,3,1,7,7,5,5,4,1.0,1.0,1.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,ZU,0
Oddish,45,50,55,75,65,30,5.4,0.5,ZU,RB,0,4,0,4,1,0,2,2,0,0,0,0,0,0,4,0,2,2,0,5,4,4,2,1,0,0,2,2,2,1.0,6,6,5,5,4,3,3,5,4,4,4,3,1.0,1.0,1.0,0.0,0.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
Gloom,60,65,70,85,75,40,8.6,0.8,ZU,RB,0,4,0,4,1,0,2,2,0,0,0,0,0,0,4,0,2,2,0,5,4,4,2,1,0,0,2,2,2,1.0,6,6,5,5,4,3,3,5,4,4,4,3,1.0,1.0,1.0,0.0,0.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
Vileplume,75,80,85,110,90,50,18.6,1.2,RU,RB,3,4,0,4,1,0,2,2,0,0,0,1,0,1,4,0,2,2,0,5,5,5,2,1,0,0,2,2,2,1.0,8,8,7,7,6,5,4,5,5,5,5,5,2.0,2.0,2.0,1.0,1.0,4,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,NU,2
Diglett,10,55,25,35,45,95,0.8,0.2,ZU,RB,0,3,0,2,0,1,1,3,2,0,0,0,0,0,3,2,0,0,0,2,12,10,3,2,1,1,7,7,3,1.0,5,4,4,4,4,3,1,4,4,4,4,3,0.0,0.0,0.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Dugtrio,35,100,50,50,70,120,33.3,0.7,PU,RB,1,3,0,2,0,1,1,3,2,0,0,0,0,0,3,2,0,0,0,2,15,13,5,3,2,2,7,7,3,1.0,7,6,6,6,5,4,2,4,4,4,4,3,1.0,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Meowth,40,45,35,40,40,90,4.2,0.4,ZU,RB,0,1,0,0,0,1,1,3,0,0,0,0,3,2,4,3,0,0,0,2,13,10,5,5,2,0,9,9,7,2.0,7,6,5,5,4,2,1,9,8,8,8,6,3.0,2.0,2.0,0.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,54.54545454545454,54.54545454545454,0,ZU,0
Persian,65,70,60,65,65,115,32.0,1.0,PU,RB,1,1,0,0,0,1,1,3,0,0,0,0,3,2,4,3,0,0,0,2,13,10,5,5,2,0,10,10,7,2.0,8,7,6,6,5,2,1,10,9,9,9,7,4.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,54.54545454545454,54.54545454545454,0,ZU,0
Psyduck,50,52,48,65,50,55,19.6,0.8,ZU,RB,0,2,0,4,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,5,15,8,4,3,1,0,9,9,7,2.0,12,11,9,8,8,7,5,6,5,5,4,3,3.0,3.0,1.0,0.0,0.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Golduck,80,82,78,95,80,85,76.6,1.7,PU,RB,1,2,0,4,0,0,1,2,0,0,0,0,3,0,3,2,0,0,0,5,17,10,6,4,2,0,10,10,7,2.0,13,12,10,9,9,8,5,7,6,6,5,5,5.0,5.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Growlithe,55,70,45,70,50,60,19.0,0.7,ZU,RB,0,3,0,6,0,0,1,3,0,0,0,0,0,0,3,0,0,1,0,0,15,11,7,7,5,3,11,11,10,4.0,6,6,6,5,4,3,3,5,4,4,4,1,1.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,77.77777777777779,77.77777777777779,0,ZU,0
Arcanine,90,110,80,100,80,95,155.0,1.9,NU,RB,2,3,0,6,0,0,1,3,0,0,0,0,1,0,3,2,0,1,0,1,18,14,10,9,6,3,11,11,10,4.0,9,9,9,8,5,3,3,5,5,5,5,3,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,77.77777777777779,77.77777777777779,0,NU,2
Poliwag,40,50,40,40,40,90,12.4,0.6,ZU,RB,0,2,0,4,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,5,7,5,2,1,1,0,4,4,3,1.0,10,8,7,6,6,5,4,5,5,5,5,4,2.0,2.0,0.0,0.0,0.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Poliwhirl,65,65,65,50,50,90,20.0,1.0,ZU,RB,0,2,0,4,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,5,15,8,5,4,2,1,6,6,5,2.0,10,8,7,6,6,5,4,5,5,5,5,4,2.0,2.0,0.0,0.0,0.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Poliwrath,90,95,95,70,90,70,54.0,1.3,PU,RB,1,5,0,7,0,0,2,2,0,0,0,0,0,0,3,2,2,0,0,5,28,18,14,12,7,2,9,9,8,2.0,11,9,8,7,7,6,4,6,6,6,6,6,4.0,4.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Abra,25,20,15,105,55,90,19.5,0.9,ZU,RB,0,3,0,2,0,0,1,-1,0,0,0,0,1,2,3,0,2,0,0,0,15,9,6,3,1,0,8,8,8,2.0,7,7,7,7,5,4,3,6,6,6,6,6,2.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,27.27272727272727,0,ZU,0
Kadabra,40,35,30,120,70,105,56.5,1.3,PU,RB,1,3,0,2,0,0,1,-1,0,0,0,0,1,2,3,0,2,1,0,1,16,10,7,3,1,0,9,9,9,2.0,10,10,9,9,7,5,3,6,6,6,6,6,2.0,2.0,2.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,27.27272727272727,0,ZU,0
Alakazam,55,50,45,135,95,120,48.0,1.5,OU,RB,5,3,0,2,0,0,1,-1,0,0,0,0,1,2,4,0,2,1,0,1,16,10,7,3,1,0,9,9,9,2.0,12,12,11,11,9,6,3,7,7,7,7,7,4.0,4.0,4.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,27.27272727272727,0,OU,5
Machop,70,80,50,35,35,35,19.5,0.8,ZU,RB,0,3,0,3,0,0,1,0,0,0,0,0,0,2,5,2,0,0,0,0,25,16,11,8,4,2,10,10,8,2.0,3,3,3,3,3,3,2,4,3,3,3,2,2.0,2.0,1.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,75.0,0,ZU,0
Machoke,80,100,70,50,60,45,70.5,1.5,ZU,RB,0,3,0,3,0,0,1,0,0,0,0,0,0,2,5,2,0,0,0,0,26,17,12,8,4,2,10,10,8,2.0,3,3,3,3,3,3,2,4,3,3,3,2,2.0,2.0,1.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,75.0,0,ZU,0
Machamp,90,130,80,65,85,55,130.0,1.6,NU,RB,2,3,0,3,0,0,1,0,0,0,0,0,0,2,5,2,0,0,0,0,32,23,17,12,7,3,10,10,9,2.0,3,3,3,3,3,3,2,4,3,3,3,3,3.0,3.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,75.0,0,NU,2
Tentacool,40,40,35,50,100,70,45.5,0.9,ZU,RB,0,3,0,8,0,0,2,5,1,1,0,0,0,2,4,0,2,0,0,1,7,4,2,2,2,0,4,4,3,1.0,12,11,9,8,8,7,6,8,7,6,6,4,2.0,2.0,0.0,0.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,64.28571428571429,64.28571428571429,1,ZU,0
Tentacruel,80,70,65,80,120,100,55.0,1.6,UU,RB,4,3,0,8,0,0,2,5,1,1,0,0,0,2,4,0,2,0,0,1,7,4,2,2,2,0,4,4,3,1.0,12,11,9,8,8,7,6,8,7,6,6,5,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,64.28571428571429,64.28571428571429,1,UU,4
Ponyta,50,85,55,65,65,90,30.0,1.0,ZU,RB,0,3,0,6,0,0,1,3,0,0,0,0,0,0,3,1,0,1,0,2,11,9,5,3,2,1,8,7,7,2.0,6,6,6,6,5,4,4,2,2,2,2,1,1.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,77.77777777777779,77.77777777777779,0,ZU,0
Rapidash,65,100,70,80,80,105,95.0,1.7,PU,RB,1,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,1,0,2,15,13,8,6,4,1,11,10,10,3.0,7,7,7,7,6,4,4,3,3,3,3,2,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,77.77777777777779,77.77777777777779,0,ZU,0
Slowpoke,90,65,65,40,40,15,36.0,1.2,ZU,RB,0,5,0,6,0,0,2,1,0,0,0,0,1,0,3,0,0,2,0,2,8,6,3,2,2,1,5,5,5,1.0,17,15,14,13,11,9,7,9,9,9,9,8,6.0,6.0,3.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,37.5,0,ZU,0
Slowbro,95,75,110,100,80,30,78.5,1.6,OU,RB,5,5,0,6,0,0,2,1,0,0,0,0,1,0,4,0,2,2,0,2,18,11,7,6,4,1,10,10,8,2.0,18,16,15,14,12,10,7,10,10,10,10,9,8.0,8.0,5.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,37.5,0,OU,5
Magnemite,25,35,70,95,55,45,6.0,0.3,ZU,RB,0,2,1,9,2,1,2,13,0,0,0,0,3,0,2,0,0,0,0,2,6,6,4,2,1,0,3,2,2,1.0,6,6,5,4,3,2,1,3,3,3,3,2,2.0,2.0,2.0,1.0,0.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Magneton,50,60,95,120,70,70,60.0,1.0,PU,RB,1,2,1,9,2,1,2,13,0,0,0,0,3,0,2,0,0,0,0,2,6,6,4,2,1,0,3,2,2,1.0,7,7,6,5,3,2,1,3,3,3,3,3,3.0,3.0,3.0,2.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Farfetch'd,52,90,55,58,62,60,15.0,0.8,ZU,RB,0,3,0,2,0,2,2,7,0,1,2,1,3,2,4,2,0,1,0,2,13,10,7,6,4,3,8,8,7,3.0,3,3,3,3,3,2,0,5,4,3,3,2,0.0,0.0,0.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,ZU,0
Shellder,30,65,100,45,25,40,4.0,0.3,ZU,RB,0,2,0,4,0,0,1,2,0,1,0,0,1,0,5,2,0,0,0,1,9,8,4,4,4,0,5,4,2,1.0,8,6,5,4,3,2,2,4,4,4,4,3,2.0,2.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,40.0,0,ZU,0
Cloyster,50,95,180,85,45,70,132.5,1.5,RU,RB,3,4,0,1,1,0,2,-1,3,1,0,0,1,0,5,2,0,0,0,2,12,11,6,6,6,1,8,6,5,2.0,8,6,5,4,3,2,2,4,4,4,4,3,3.0,3.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,40.0,0,RU,3
Gastly,30,35,30,100,35,80,0.1,1.3,ZU,RB,0,4,0,2,2,2,2,10,0,0,1,0,0,2,2,2,2,0,0,2,11,9,7,5,4,1,8,8,7,2.0,14,13,12,12,12,8,5,10,9,9,9,8,2.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,95.45454545454545,95.45454545454545,0,ZU,0
Haunter,45,50,45,115,55,95,0.1,1.6,PU,RB,1,4,0,2,2,2,2,10,0,0,1,0,0,2,2,2,2,0,0,2,12,10,7,5,4,1,8,8,7,2.0,14,13,12,12,12,8,5,10,9,9,9,8,2.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,95.45454545454545,95.45454545454545,0,ZU,0
Gengar,60,65,60,130,75,110,40.5,1.5,OU,RB,5,4,0,2,2,2,2,10,0,0,1,0,0,2,4,2,2,0,0,2,21,13,8,6,4,1,9,9,8,3.0,15,14,13,13,13,9,5,11,10,10,10,9,4.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,71.42857142857143,71.42857142857143,0,OU,5
Onix,35,45,160,30,45,70,210.0,8.8,ZU,RB,0,4,2,4,1,1,2,2,2,0,0,0,0,0,4,0,0,0,0,1,24,20,13,10,8,2,7,7,5,2.0,5,4,4,4,2,1,0,5,5,5,5,3,0.0,0.0,0.0,0.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,57.14285714285714,57.14285714285714,0,ZU,0
Krabby,30,105,90,25,25,50,6.5,0.4,ZU,RB,0,2,0,4,0,0,1,2,0,0,0,0,0,2,4,0,0,0,0,1,12,9,5,4,1,0,8,8,6,2.0,8,5,4,3,3,2,2,5,5,5,5,2,1.0,1.0,0.0,0.0,0.0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,ZU,0
Kingler,55,130,115,50,50,75,60.0,1.3,NU,RB,2,2,0,4,0,0,1,2,0,0,0,0,0,2,4,0,0,0,0,1,15,11,7,4,1,0,8,8,6,2.0,9,6,5,4,4,3,3,5,5,5,5,3,3.0,3.0,1.0,1.0,1.0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,2
Exeggcute,60,40,80,60,45,40,2.5,0.4,ZU,RB,0,6,1,6,0,0,2,-2,0,0,0,1,1,0,4,0,2,1,0,5,8,6,3,2,1,0,4,3,2,1.0,8,7,5,5,4,3,3,6,5,5,5,4,2.0,1.0,1.0,0.0,0.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
Exeggutor,95,95,85,125,75,55,120.0,2.0,ZU,RB,0,6,1,6,0,0,2,-2,0,0,0,1,1,0,4,0,2,1,0,5,14,12,9,4,3,2,6,5,4,2.0,10,9,7,7,6,5,4,6,5,5,5,4,3.0,3.0,3.0,1.0,1.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
