name,description
Magic Bounce,This Pokemon blocks certain status moves and bounces them back to the user.
Moxie,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.
Multiscale,"If this Pokemon is at full HP, damage taken from attacks is halved."
Mummy,Pokemon making contact with this Pokemon have their Ability changed to Mummy.
Pickpocket,"If this Pokemon has no item and is hit by a contact move, it steals the attacker's item."
Poison Touch,This Pokemon's contact moves have a 30% chance of poisoning.
Prankster,"This Pokemon's Status moves have priority raised by 1, but Dark types are immune."
Regenerator,"This Pokemon restores 1/3 of its maximum HP, rounded down, when it switches out."
Sand Force,This Pokemon's Ground/Rock/Steel attacks do 1.3x in Sandstorm; immunity to it.
Sand Rush,"If Sandstorm is active, this Pokemon's Speed is doubled; immunity to Sandstorm."
Sheer Force,This Pokemon's attacks with secondary effects have 1.3x power; nullifies the effects.
Telepathy,This Pokemon does not take damage from attacks made by its allies.
Teravolt,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Turboblaze,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Unnerve,"While this Pokemon is active, it prevents opposing Pokemon from using their Berries."
Victory Star,This Pokemon and its allies' moves have their accuracy multiplied by 1.1.
Wonder Skin,Status moves with accuracy checks are 50% accurate when used on this Pokemon.
Gale Wings,"If this Pokemon is at full HP, its Flying-type moves have their priority increased by 1."
Pixilate,This Pokemon's Normal-type moves become Fairy type and have 1.2x power.
Refrigerate,This Pokemon's Normal-type moves become Ice type and have 1.2x power.
Stance Change,"If Aegislash, changes Forme to Blade before attacks and Shield before King's Shield."
Symbiosis,"If an ally uses its item, this Pokemon gives its item to that ally immediately."
Aroma Veil,"Protects user/allies from Attract, Disable, Encore, Heal Block, Taunt, and Torment."
Aura Break,"While this Pokemon is active, the Dark Aura and Fairy Aura power modifier is 0.75x."
Bulletproof,"Makes user immune to ballistic moves (Shadow Ball, Sludge Bomb, Focus Blast, etc)."
Cheek Pouch,"If this Pokemon eats a Berry, it restores 1/3 of its max HP after the Berry's effect."
Competitive,This Pokemon's Sp. Atk is raised by 2 for each of its stats that is lowered by a foe.
Dark Aura,"While this Pokemon is active, a Dark move used by any Pokemon has 1.33x power."
Fairy Aura,"While this Pokemon is active, a Fairy move used by any Pokemon has 1.33x power."
Flower Veil,This side's Grass types can't have stats lowered or status inflicted by other Pokemon.
Fur Coat,This Pokemon's Defense is doubled.
Gooey,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.
Magician,"If this Pokemon has no item, it steals the item off a Pokemon it hits with an attack."
Mega Launcher,This Pokemon's pulse moves have 1.5x power. Heal Pulse heals 3/4 target's max HP.
Strong Jaw,This Pokemon's bite-based attacks have 1.5x power. Bug Bite is not boosted.
Sweet Veil,This Pokemon and its allies cannot fall asleep.
Tough Claws,This Pokemon's contact moves have their power multiplied by 1.3.
Disguise,"(Mimikyu only) The first hit it takes is blocked, and it takes 1/8 HP damage instead."
Battery,This Pokemon's allies have the power of their special attacks multiplied by 1.3.
Beast Boost,This Pokemon's highest stat is raised by 1 if it attacks and KOes another Pokemon.
Berserk,This Pokemon's Sp. Atk is raised by 1 when it reaches 1/2 or less of its max HP.
Corrosion,This Pokemon can poison or badly poison other Pokemon regardless of their typing.
Electric Surge,"On switch-in, this Pokemon summons Electric Terrain."
Emergency Exit,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.
Fluffy,"This Pokemon takes 1/2 damage from contact moves, 2x damage from Fire moves."
Full Metal Body,Prevents other Pokemon from lowering this Pokemon's stat stages.
Grassy Surge,"On switch-in, this Pokemon summons Grassy Terrain."
Innards Out,"If this Pokemon is KOed with a move, that move's user loses an equal amount of HP."
Liquid Voice,This Pokemon's sound-based moves become Water type.
Long Reach,This Pokemon's attacks do not make contact with the target.
Merciless,This Pokemon's attacks are critical hits if the target is poisoned.
Misty Surge,"On switch-in, this Pokemon summons Misty Terrain."
Power Construct,"If Zygarde 10%/50%, changes to Complete if at 1/2 max HP or less at end of turn."
Prism Armor,This Pokemon receives 3/4 damage from supereffective attacks.
Psychic Surge,"On switch-in, this Pokemon summons Psychic Terrain."
Queenly Majesty,"While this Pokemon is active, allies are protected from opposing priority moves."
Receiver,This Pokemon copies the Ability of an ally that faints.
RKS System,"If this Pokemon is a Silvally, its type changes to match its held Memory."
Schooling,"If user is Wishiwashi, changes to School Form if it has &gt; 1/4 max HP, else Solo Form."
Shadow Shield,"If this Pokemon is at full HP, damage taken from attacks is halved."
Slush Rush,"If Hail is active, this Pokemon's Speed is doubled."
Soul-Heart,This Pokemon's Sp. Atk is raised by 1 stage when another Pokemon faints.
Stakeout,This Pokemon's attacking stat is doubled against a target that switched in this turn.
Stamina,This Pokemon's Defense is raised by 1 stage after it is damaged by a move.
Steelworker,This Pokemon's attacking stat is multiplied by 1.5 while using a Steel-type attack.
Surge Surfer,"If Electric Terrain is active, this Pokemon's Speed is doubled."
Tangling Hair,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.
Triage,This Pokemon's healing moves have their priority increased by 3.
Water Bubble,This Pokemon's Water power is 2x; it can't be burned; Fire power against it is halved.
Water Compaction,This Pokemon's Defense is raised 2 stages after it is damaged by a Water-type move.
Wimp Out,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.
As One (Glastrier),The combination of Unnerve and Chilling Neigh.
As One (Spectrier),The combination of Unnerve and Grim Neigh.
Ball Fetch,No competitive use.
Chilling Neigh,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.
Cotton Down,"If this Pokemon is hit, it lowers the Speed of all other Pokemon on the field 1 stage."
Curious Medicine,"On switch-in, this Pokemon's allies have their stat stages reset to 0."
Dauntless Shield,"On switch-in, this Pokemon's Defense is raised by 1 stage."
Dragon's Maw,This Pokemon's attacking stat is multiplied by 1.5 while using a Dragon-type attack.
Gorilla Tactics,"This Pokemon's Attack is 1.5x, but it can only select the first move it executes."
Grim Neigh,This Pokemon's Sp. Atk is raised by 1 stage if it attacks and KOes another Pokemon.
Gulp Missile,"When hit after Surf/Dive, attacker takes 1/4 max HP and -1 Defense or paralysis."
Hunger Switch,"If Morpeko, it changes between Full Belly and Hangry Mode at the end of each turn."
Ice Face,"If Eiscue, the first physical hit it takes deals 0 damage. This effect is restored in Hail."
Ice Scales,This Pokemon receives 1/2 damage from special attacks.
Libero,This Pokemon's type changes to match the type of the move it is about to use.
Mimicry,This Pokemon's type changes to match the Terrain. Type reverts when Terrain ends.
Mirror Armor,"If this Pokemon's stat stages would be lowered, the attacker's are lowered instead."
Neutralizing Gas,"While this Pokemon is active, Abilities have no effect."
Pastel Veil,"This Pokemon and its allies cannot be poisoned. On switch-in, cures poisoned allies."
Perish Body,Making contact with this Pokemon starts the Perish Song effect for it and the attacker.
Power Spot,This Pokemon's allies have the power of their moves multiplied by 1.3.
Propeller Tail,This Pokemon's moves cannot be redirected to a different target by any effect.
Punk Rock,This Pokemon receives 1/2 damage from sound moves. Its own have 1.3x power.
Quick Draw,This Pokemon has a 30% chance to move first in its priority bracket with attacking moves.
Ripen,"When this Pokemon eats a Berry, its effect is doubled."
Sand Spit,"When this Pokemon is hit, Sandstorm begins."
Screen Cleaner,"On switch-in, the effects of Aurora Veil, Light Screen, and Reflect end for both sides."
Stalwart,This Pokemon's moves cannot be redirected to a different target by any effect.
Steam Engine,This Pokemon's Speed is raised by 6 stages after it is damaged by Fire/Water moves.
Steely Spirit,This Pokemon and its allies' Steel-type moves have their power multiplied by 1.5.
Transistor,This Pokemon's attacking stat is multiplied by 1.5 while using an Electric-type attack.
Unseen Fist,All contact moves hit through protection.
Wandering Spirit,Pokemon making contact with this Pokemon have their Ability swapped with this one.
